Top_N,Precision,Recall,F1_Score
1,1.0,0.008849557522123894,0.017543859649122806
2,1.0,0.017699115044247787,0.034782608695652174
3,1.0,0.02654867256637168,0.05172413793103448
4,1.0,0.035398230088495575,0.06837606837606837
5,1.0,0.04424778761061947,0.0847457627118644
6,0.8333333333333334,0.04424778761061947,0.08403361344537814
7,0.8571428571428571,0.05309734513274336,0.09999999999999999
8,0.875,0.061946902654867256,0.11570247933884298
9,0.7777777777777778,0.061946902654867256,0.11475409836065573
10,0.7,0.061946902654867256,0.11382113821138212
11,0.6363636363636364,0.061946902654867256,0.11290322580645161
12,0.6666666666666666,0.07079646017699115,0.128
13,0.6923076923076923,0.07964601769911504,0.14285714285714285
14,0.7142857142857143,0.08849557522123894,0.15748031496062992
15,0.6666666666666666,0.08849557522123894,0.15625
16,0.625,0.08849557522123894,0.15503875968992248
17,0.6470588235294118,0.09734513274336283,0.1692307692307692
18,0.6111111111111112,0.09734513274336283,0.1679389312977099
19,0.5789473684210527,0.09734513274336283,0.16666666666666666
20,0.55,0.09734513274336283,0.16541353383458646
21,0.5238095238095238,0.09734513274336283,0.16417910447761194
22,0.5,0.09734513274336283,0.16296296296296295
23,0.4782608695652174,0.09734513274336283,0.16176470588235292
24,0.4583333333333333,0.09734513274336283,0.16058394160583941
25,0.44,0.09734513274336283,0.15942028985507248
26,0.4230769230769231,0.09734513274336283,0.15827338129496402
27,0.4074074074074074,0.09734513274336283,0.15714285714285714
28,0.39285714285714285,0.09734513274336283,0.15602836879432624
29,0.3793103448275862,0.09734513274336283,0.15492957746478875
30,0.36666666666666664,0.09734513274336283,0.15384615384615385
31,0.3548387096774194,0.09734513274336283,0.1527777777777778
32,0.375,0.10619469026548672,0.16551724137931034
33,0.36363636363636365,0.10619469026548672,0.1643835616438356
34,0.38235294117647056,0.11504424778761062,0.17687074829931973
35,0.37142857142857144,0.11504424778761062,0.17567567567567569
36,0.3611111111111111,0.11504424778761062,0.174496644295302
37,0.35135135135135137,0.11504424778761062,0.1733333333333333
38,0.34210526315789475,0.11504424778761062,0.17218543046357615
39,0.3333333333333333,0.11504424778761062,0.17105263157894737
40,0.325,0.11504424778761062,0.16993464052287582
41,0.3170731707317073,0.11504424778761062,0.16883116883116883
42,0.30952380952380953,0.11504424778761062,0.16774193548387095
43,0.3023255813953488,0.11504424778761062,0.16666666666666666
44,0.29545454545454547,0.11504424778761062,0.1656050955414013
45,0.28888888888888886,0.11504424778761062,0.16455696202531644
46,0.2826086956521739,0.11504424778761062,0.16352201257861632
47,0.2765957446808511,0.11504424778761062,0.1625
48,0.2708333333333333,0.11504424778761062,0.16149068322981366
49,0.2653061224489796,0.11504424778761062,0.16049382716049382
50,0.26,0.11504424778761062,0.15950920245398773
51,0.2549019607843137,0.11504424778761062,0.15853658536585363
52,0.25,0.11504424778761062,0.15757575757575756
53,0.24528301886792453,0.11504424778761062,0.15662650602409636
54,0.24074074074074073,0.11504424778761062,0.15568862275449102
55,0.23636363636363636,0.11504424778761062,0.15476190476190477
56,0.23214285714285715,0.11504424778761062,0.15384615384615383
57,0.24561403508771928,0.12389380530973451,0.16470588235294117
58,0.2413793103448276,0.12389380530973451,0.16374269005847952
59,0.23728813559322035,0.12389380530973451,0.16279069767441862
60,0.23333333333333334,0.12389380530973451,0.16184971098265893
61,0.22950819672131148,0.12389380530973451,0.16091954022988506
62,0.22580645161290322,0.12389380530973451,0.16
63,0.2222222222222222,0.12389380530973451,0.1590909090909091
64,0.21875,0.12389380530973451,0.15819209039548024
65,0.2153846153846154,0.12389380530973451,0.15730337078651688
66,0.21212121212121213,0.12389380530973451,0.1564245810055866
67,0.208955223880597,0.12389380530973451,0.15555555555555556
68,0.20588235294117646,0.12389380530973451,0.15469613259668508
69,0.2028985507246377,0.12389380530973451,0.15384615384615385
70,0.2,0.12389380530973451,0.1530054644808743
71,0.19718309859154928,0.12389380530973451,0.15217391304347827
72,0.20833333333333334,0.13274336283185842,0.16216216216216217
73,0.2191780821917808,0.1415929203539823,0.17204301075268816
74,0.22972972972972974,0.1504424778761062,0.18181818181818185
75,0.24,0.1592920353982301,0.19148936170212766
76,0.23684210526315788,0.1592920353982301,0.19047619047619047
77,0.23376623376623376,0.1592920353982301,0.18947368421052632
78,0.23076923076923078,0.1592920353982301,0.1884816753926702
79,0.22784810126582278,0.1592920353982301,0.18749999999999997
80,0.2375,0.168141592920354,0.1968911917098446
81,0.2345679012345679,0.168141592920354,0.1958762886597938
82,0.23170731707317074,0.168141592920354,0.19487179487179487
83,0.2289156626506024,0.168141592920354,0.19387755102040818
84,0.2261904761904762,0.168141592920354,0.19289340101522842
85,0.2235294117647059,0.168141592920354,0.19191919191919193
86,0.22093023255813954,0.168141592920354,0.19095477386934678
87,0.21839080459770116,0.168141592920354,0.19000000000000003
88,0.2159090909090909,0.168141592920354,0.1890547263681592
89,0.2247191011235955,0.17699115044247787,0.19801980198019803
90,0.2222222222222222,0.17699115044247787,0.19704433497536944
91,0.21978021978021978,0.17699115044247787,0.19607843137254902
92,0.21739130434782608,0.17699115044247787,0.19512195121951215
93,0.21505376344086022,0.17699115044247787,0.1941747572815534
94,0.2127659574468085,0.17699115044247787,0.1932367149758454
95,0.21052631578947367,0.17699115044247787,0.1923076923076923
96,0.20833333333333334,0.17699115044247787,0.19138755980861244
97,0.20618556701030927,0.17699115044247787,0.19047619047619047
98,0.21428571428571427,0.18584070796460178,0.1990521327014218
99,0.21212121212121213,0.18584070796460178,0.19811320754716985
100,0.21,0.18584070796460178,0.19718309859154928
