Top_N,Precision,Recall,F1_Score
1,1.0,0.006578947368421052,0.013071895424836602
2,0.5,0.006578947368421052,0.012987012987012988
3,0.6666666666666666,0.013157894736842105,0.025806451612903226
4,0.5,0.013157894736842105,0.025641025641025637
5,0.4,0.013157894736842105,0.025477707006369425
6,0.5,0.019736842105263157,0.03797468354430379
7,0.42857142857142855,0.019736842105263157,0.03773584905660377
8,0.375,0.019736842105263157,0.0375
9,0.4444444444444444,0.02631578947368421,0.04968944099378882
10,0.4,0.02631578947368421,0.04938271604938271
11,0.36363636363636365,0.02631578947368421,0.049079754601226995
12,0.3333333333333333,0.02631578947368421,0.048780487804878044
13,0.3076923076923077,0.02631578947368421,0.048484848484848485
14,0.35714285714285715,0.03289473684210526,0.060240963855421686
15,0.3333333333333333,0.03289473684210526,0.059880239520958084
16,0.3125,0.03289473684210526,0.05952380952380952
17,0.29411764705882354,0.03289473684210526,0.059171597633136085
18,0.2777777777777778,0.03289473684210526,0.058823529411764705
19,0.3157894736842105,0.039473684210526314,0.07017543859649122
20,0.3,0.039473684210526314,0.0697674418604651
21,0.3333333333333333,0.046052631578947366,0.08092485549132948
22,0.36363636363636365,0.05263157894736842,0.09195402298850575
23,0.34782608695652173,0.05263157894736842,0.09142857142857143
24,0.3333333333333333,0.05263157894736842,0.09090909090909091
25,0.32,0.05263157894736842,0.0903954802259887
26,0.3076923076923077,0.05263157894736842,0.0898876404494382
27,0.2962962962962963,0.05263157894736842,0.0893854748603352
28,0.2857142857142857,0.05263157894736842,0.08888888888888889
29,0.3103448275862069,0.05921052631578947,0.09944751381215468
30,0.3,0.05921052631578947,0.0989010989010989
31,0.3225806451612903,0.06578947368421052,0.1092896174863388
32,0.3125,0.06578947368421052,0.10869565217391304
33,0.30303030303030304,0.06578947368421052,0.10810810810810811
34,0.29411764705882354,0.06578947368421052,0.1075268817204301
35,0.2857142857142857,0.06578947368421052,0.10695187165775402
36,0.2777777777777778,0.06578947368421052,0.10638297872340426
37,0.2702702702702703,0.06578947368421052,0.10582010582010583
38,0.2631578947368421,0.06578947368421052,0.10526315789473684
39,0.28205128205128205,0.07236842105263158,0.11518324607329844
40,0.275,0.07236842105263158,0.11458333333333334
41,0.2682926829268293,0.07236842105263158,0.11398963730569948
42,0.2619047619047619,0.07236842105263158,0.11340206185567012
43,0.2558139534883721,0.07236842105263158,0.11282051282051282
44,0.25,0.07236842105263158,0.11224489795918367
45,0.24444444444444444,0.07236842105263158,0.11167512690355333
46,0.2608695652173913,0.07894736842105263,0.12121212121212123
47,0.2765957446808511,0.08552631578947369,0.1306532663316583
48,0.2708333333333333,0.08552631578947369,0.13
49,0.2653061224489796,0.08552631578947369,0.12935323383084577
50,0.28,0.09210526315789473,0.13861386138613863
51,0.29411764705882354,0.09868421052631579,0.1477832512315271
52,0.28846153846153844,0.09868421052631579,0.14705882352941174
53,0.2830188679245283,0.09868421052631579,0.14634146341463417
54,0.2962962962962963,0.10526315789473684,0.1553398058252427
55,0.2909090909090909,0.10526315789473684,0.15458937198067632
56,0.2857142857142857,0.10526315789473684,0.15384615384615385
57,0.2807017543859649,0.10526315789473684,0.15311004784688995
58,0.27586206896551724,0.10526315789473684,0.15238095238095237
59,0.2711864406779661,0.10526315789473684,0.15165876777251183
60,0.2833333333333333,0.1118421052631579,0.16037735849056603
61,0.2786885245901639,0.1118421052631579,0.1596244131455399
62,0.2903225806451613,0.11842105263157894,0.16822429906542055
63,0.2857142857142857,0.11842105263157894,0.16744186046511628
64,0.28125,0.11842105263157894,0.16666666666666666
