Top_N,Precision,Recall,F1_Score
1,1.0,0.020833333333333332,0.04081632653061225
2,1.0,0.041666666666666664,0.07999999999999999
3,1.0,0.0625,0.11764705882352941
4,0.75,0.0625,0.11538461538461539
5,0.6,0.0625,0.11320754716981132
6,0.5,0.0625,0.1111111111111111
7,0.5714285714285714,0.08333333333333333,0.14545454545454545
8,0.5,0.08333333333333333,0.14285714285714285
9,0.4444444444444444,0.08333333333333333,0.14035087719298245
10,0.4,0.08333333333333333,0.13793103448275862
11,0.36363636363636365,0.08333333333333333,0.13559322033898305
12,0.3333333333333333,0.08333333333333333,0.13333333333333333
13,0.38461538461538464,0.10416666666666667,0.16393442622950818
14,0.35714285714285715,0.10416666666666667,0.16129032258064516
15,0.3333333333333333,0.10416666666666667,0.15873015873015875
16,0.3125,0.10416666666666667,0.15625
17,0.29411764705882354,0.10416666666666667,0.15384615384615385
18,0.2777777777777778,0.10416666666666667,0.15151515151515152
19,0.3157894736842105,0.125,0.1791044776119403
20,0.3,0.125,0.17647058823529413
21,0.3333333333333333,0.14583333333333334,0.2028985507246377
22,0.3181818181818182,0.14583333333333334,0.2
23,0.30434782608695654,0.14583333333333334,0.19718309859154928
24,0.2916666666666667,0.14583333333333334,0.19444444444444448
25,0.28,0.14583333333333334,0.1917808219178082
26,0.2692307692307692,0.14583333333333334,0.1891891891891892
27,0.25925925925925924,0.14583333333333334,0.18666666666666668
28,0.25,0.14583333333333334,0.18421052631578946
29,0.2413793103448276,0.14583333333333334,0.18181818181818185
30,0.23333333333333334,0.14583333333333334,0.17948717948717952
31,0.22580645161290322,0.14583333333333334,0.17721518987341772
32,0.21875,0.14583333333333334,0.17500000000000002
33,0.21212121212121213,0.14583333333333334,0.1728395061728395
34,0.20588235294117646,0.14583333333333334,0.17073170731707318
35,0.2,0.14583333333333334,0.16867469879518074
36,0.19444444444444445,0.14583333333333334,0.16666666666666666
37,0.1891891891891892,0.14583333333333334,0.1647058823529412
38,0.18421052631578946,0.14583333333333334,0.16279069767441862
39,0.1794871794871795,0.14583333333333334,0.16091954022988506
40,0.175,0.14583333333333334,0.15909090909090912
