Top_N,Precision,Recall,F1_Score
1,1.0,0.005681818181818182,0.01129943502824859
2,1.0,0.011363636363636364,0.02247191011235955
3,1.0,0.017045454545454544,0.0335195530726257
4,1.0,0.022727272727272728,0.044444444444444446
5,1.0,0.028409090909090908,0.05524861878453039
6,1.0,0.03409090909090909,0.06593406593406592
7,1.0,0.03977272727272727,0.07650273224043716
8,1.0,0.045454545454545456,0.08695652173913045
9,1.0,0.05113636363636364,0.09729729729729732
10,0.9,0.05113636363636364,0.09677419354838711
11,0.9090909090909091,0.056818181818181816,0.10695187165775401
12,0.8333333333333334,0.056818181818181816,0.10638297872340426
13,0.8461538461538461,0.0625,0.1164021164021164
14,0.8571428571428571,0.06818181818181818,0.1263157894736842
15,0.8,0.06818181818181818,0.1256544502617801
16,0.8125,0.07386363636363637,0.13541666666666669
17,0.7647058823529411,0.07386363636363637,0.13471502590673576
18,0.7222222222222222,0.07386363636363637,0.13402061855670105
19,0.6842105263157895,0.07386363636363637,0.13333333333333336
20,0.7,0.07954545454545454,0.14285714285714285
21,0.7142857142857143,0.08522727272727272,0.15228426395939088
22,0.7272727272727273,0.09090909090909091,0.1616161616161616
23,0.7391304347826086,0.09659090909090909,0.1708542713567839
24,0.75,0.10227272727272728,0.18
25,0.76,0.10795454545454546,0.1890547263681592
26,0.7307692307692307,0.10795454545454546,0.18811881188118812
27,0.7037037037037037,0.10795454545454546,0.187192118226601
28,0.6785714285714286,0.10795454545454546,0.18627450980392157
29,0.6896551724137931,0.11363636363636363,0.1951219512195122
30,0.7,0.11931818181818182,0.20388349514563106
31,0.6774193548387096,0.11931818181818182,0.2028985507246377
32,0.65625,0.11931818181818182,0.20192307692307693
33,0.6363636363636364,0.11931818181818182,0.20095693779904308
34,0.6176470588235294,0.11931818181818182,0.19999999999999998
35,0.6285714285714286,0.125,0.20853080568720378
36,0.6111111111111112,0.125,0.20754716981132076
37,0.5945945945945946,0.125,0.20657276995305165
38,0.6052631578947368,0.13068181818181818,0.21495327102803738
39,0.5897435897435898,0.13068181818181818,0.213953488372093
40,0.575,0.13068181818181818,0.21296296296296297
41,0.5609756097560976,0.13068181818181818,0.21198156682027652
42,0.5476190476190477,0.13068181818181818,0.21100917431192662
43,0.5581395348837209,0.13636363636363635,0.21917808219178078
44,0.5454545454545454,0.13636363636363635,0.21818181818181817
45,0.5333333333333333,0.13636363636363635,0.2171945701357466
46,0.5217391304347826,0.13636363636363635,0.2162162162162162
47,0.5106382978723404,0.13636363636363635,0.21524663677130043
48,0.5208333333333334,0.14204545454545456,0.2232142857142857
49,0.5102040816326531,0.14204545454545456,0.22222222222222224
50,0.5,0.14204545454545456,0.22123893805309736
51,0.49019607843137253,0.14204545454545456,0.2202643171806168
52,0.4807692307692308,0.14204545454545456,0.2192982456140351
53,0.4716981132075472,0.14204545454545456,0.2183406113537118
54,0.46296296296296297,0.14204545454545456,0.21739130434782614
55,0.45454545454545453,0.14204545454545456,0.21645021645021648
56,0.44642857142857145,0.14204545454545456,0.21551724137931036
57,0.43859649122807015,0.14204545454545456,0.2145922746781116
58,0.43103448275862066,0.14204545454545456,0.2136752136752137
59,0.423728813559322,0.14204545454545456,0.2127659574468085
60,0.43333333333333335,0.14772727272727273,0.22033898305084748
61,0.4262295081967213,0.14772727272727273,0.21940928270042193
62,0.43548387096774194,0.1534090909090909,0.226890756302521
63,0.4444444444444444,0.1590909090909091,0.23430962343096234
64,0.4375,0.1590909090909091,0.23333333333333334
65,0.4307692307692308,0.1590909090909091,0.23236514522821577
66,0.4393939393939394,0.16477272727272727,0.23966942148760328
67,0.43283582089552236,0.16477272727272727,0.23868312757201646
68,0.4264705882352941,0.16477272727272727,0.2377049180327869
69,0.43478260869565216,0.17045454545454544,0.24489795918367344
70,0.44285714285714284,0.17613636363636365,0.25203252032520324
71,0.43661971830985913,0.17613636363636365,0.2510121457489879
72,0.4305555555555556,0.17613636363636365,0.25
73,0.4246575342465753,0.17613636363636365,0.24899598393574293
