Top_N,Precision,Recall,F1_Score
1,1.0,0.008620689655172414,0.017094017094017096
2,1.0,0.017241379310344827,0.03389830508474576
3,1.0,0.02586206896551724,0.050420168067226885
4,1.0,0.034482758620689655,0.06666666666666667
5,1.0,0.04310344827586207,0.08264462809917356
6,0.8333333333333334,0.04310344827586207,0.0819672131147541
7,0.8571428571428571,0.05172413793103448,0.09756097560975609
8,0.75,0.05172413793103448,0.0967741935483871
9,0.6666666666666666,0.05172413793103448,0.096
10,0.7,0.0603448275862069,0.11111111111111113
11,0.7272727272727273,0.06896551724137931,0.12598425196850394
12,0.6666666666666666,0.06896551724137931,0.125
13,0.6923076923076923,0.07758620689655173,0.13953488372093023
14,0.6428571428571429,0.07758620689655173,0.13846153846153847
15,0.6,0.07758620689655173,0.13740458015267176
16,0.5625,0.07758620689655173,0.13636363636363638
17,0.5882352941176471,0.08620689655172414,0.15037593984962408
18,0.5555555555555556,0.08620689655172414,0.1492537313432836
19,0.5263157894736842,0.08620689655172414,0.14814814814814817
20,0.5,0.08620689655172414,0.14705882352941177
21,0.47619047619047616,0.08620689655172414,0.14598540145985403
22,0.5,0.09482758620689655,0.15942028985507245
23,0.4782608695652174,0.09482758620689655,0.15827338129496402
24,0.4583333333333333,0.09482758620689655,0.15714285714285717
25,0.44,0.09482758620689655,0.15602836879432624
26,0.46153846153846156,0.10344827586206896,0.16901408450704225
27,0.48148148148148145,0.11206896551724138,0.18181818181818182
28,0.5,0.1206896551724138,0.19444444444444445
29,0.4827586206896552,0.1206896551724138,0.1931034482758621
30,0.5,0.12931034482758622,0.20547945205479454
31,0.4838709677419355,0.12931034482758622,0.20408163265306126
32,0.46875,0.12931034482758622,0.20270270270270271
33,0.45454545454545453,0.12931034482758622,0.20134228187919462
34,0.4411764705882353,0.12931034482758622,0.2
35,0.42857142857142855,0.12931034482758622,0.19867549668874174
36,0.4444444444444444,0.13793103448275862,0.21052631578947367
37,0.43243243243243246,0.13793103448275862,0.2091503267973856
38,0.42105263157894735,0.13793103448275862,0.20779220779220778
39,0.41025641025641024,0.13793103448275862,0.20645161290322583
40,0.4,0.13793103448275862,0.20512820512820515
41,0.4146341463414634,0.14655172413793102,0.2165605095541401
42,0.40476190476190477,0.14655172413793102,0.2151898734177215
43,0.3953488372093023,0.14655172413793102,0.21383647798742136
44,0.38636363636363635,0.14655172413793102,0.2125
45,0.37777777777777777,0.14655172413793102,0.21118012422360244
46,0.3695652173913043,0.14655172413793102,0.20987654320987653
47,0.3829787234042553,0.15517241379310345,0.22085889570552147
48,0.375,0.15517241379310345,0.21951219512195125
49,0.3877551020408163,0.16379310344827586,0.23030303030303031
50,0.38,0.16379310344827586,0.22891566265060237
51,0.37254901960784315,0.16379310344827586,0.22754491017964076
52,0.36538461538461536,0.16379310344827586,0.2261904761904762
53,0.3584905660377358,0.16379310344827586,0.22485207100591714
54,0.35185185185185186,0.16379310344827586,0.2235294117647059
55,0.34545454545454546,0.16379310344827586,0.22222222222222224
56,0.3392857142857143,0.16379310344827586,0.2209302325581395
57,0.3333333333333333,0.16379310344827586,0.21965317919075145
58,0.3448275862068966,0.1724137931034483,0.2298850574712644
59,0.3389830508474576,0.1724137931034483,0.22857142857142856
60,0.3333333333333333,0.1724137931034483,0.22727272727272724
61,0.32786885245901637,0.1724137931034483,0.22598870056497172
62,0.3387096774193548,0.1810344827586207,0.23595505617977527
63,0.3492063492063492,0.1896551724137931,0.2458100558659218
64,0.34375,0.1896551724137931,0.24444444444444444
65,0.3384615384615385,0.1896551724137931,0.24309392265193372
66,0.3333333333333333,0.1896551724137931,0.24175824175824173
67,0.34328358208955223,0.19827586206896552,0.25136612021857924
68,0.3382352941176471,0.19827586206896552,0.25
69,0.3333333333333333,0.19827586206896552,0.2486486486486487
70,0.32857142857142857,0.19827586206896552,0.24731182795698925
71,0.323943661971831,0.19827586206896552,0.24598930481283424
72,0.3194444444444444,0.19827586206896552,0.24468085106382978
73,0.3150684931506849,0.19827586206896552,0.24338624338624343
74,0.3108108108108108,0.19827586206896552,0.24210526315789477
75,0.30666666666666664,0.19827586206896552,0.24083769633507854
76,0.3026315789473684,0.19827586206896552,0.23958333333333337
77,0.3116883116883117,0.20689655172413793,0.24870466321243526
78,0.3076923076923077,0.20689655172413793,0.24742268041237114
79,0.31645569620253167,0.21551724137931033,0.2564102564102564
80,0.3125,0.21551724137931033,0.25510204081632654
81,0.30864197530864196,0.21551724137931033,0.25380710659898476
82,0.3048780487804878,0.21551724137931033,0.25252525252525254
83,0.30120481927710846,0.21551724137931033,0.25125628140703515
84,0.2976190476190476,0.21551724137931033,0.25
85,0.3058823529411765,0.22413793103448276,0.2587064676616916
86,0.3023255813953488,0.22413793103448276,0.2574257425742574
87,0.2988505747126437,0.22413793103448276,0.2561576354679803
88,0.29545454545454547,0.22413793103448276,0.2549019607843137
89,0.29213483146067415,0.22413793103448276,0.2536585365853659
90,0.3,0.23275862068965517,0.2621359223300971
91,0.2967032967032967,0.23275862068965517,0.2608695652173913
92,0.29347826086956524,0.23275862068965517,0.25961538461538464
93,0.2903225806451613,0.23275862068965517,0.2583732057416268
94,0.2872340425531915,0.23275862068965517,0.2571428571428572
95,0.28421052631578947,0.23275862068965517,0.2559241706161137
96,0.2916666666666667,0.2413793103448276,0.26415094339622647
97,0.28865979381443296,0.2413793103448276,0.2629107981220657
98,0.29591836734693877,0.25,0.27102803738317754
99,0.29292929292929293,0.25,0.26976744186046514
100,0.29,0.25,0.2685185185185185
