Top_N,Precision,Recall,F1_Score
1,1.0,0.020833333333333332,0.04081632653061225
2,1.0,0.041666666666666664,0.07999999999999999
3,1.0,0.0625,0.11764705882352941
4,1.0,0.08333333333333333,0.15384615384615385
5,1.0,0.10416666666666667,0.18867924528301885
6,0.8333333333333334,0.10416666666666667,0.1851851851851852
7,0.8571428571428571,0.125,0.21818181818181817
8,0.75,0.125,0.21428571428571427
9,0.6666666666666666,0.125,0.21052631578947367
10,0.6,0.125,0.20689655172413793
11,0.5454545454545454,0.125,0.20338983050847456
12,0.5,0.125,0.2
13,0.46153846153846156,0.125,0.19672131147540983
14,0.42857142857142855,0.125,0.19354838709677416
15,0.4,0.125,0.19047619047619047
16,0.4375,0.14583333333333334,0.21875000000000003
17,0.47058823529411764,0.16666666666666666,0.24615384615384617
18,0.5,0.1875,0.2727272727272727
19,0.5263157894736842,0.20833333333333334,0.29850746268656714
20,0.5,0.20833333333333334,0.29411764705882354
21,0.5238095238095238,0.22916666666666666,0.31884057971014496
22,0.5,0.22916666666666666,0.3142857142857143
23,0.4782608695652174,0.22916666666666666,0.3098591549295775
24,0.4583333333333333,0.22916666666666666,0.3055555555555555
25,0.44,0.22916666666666666,0.3013698630136986
26,0.4230769230769231,0.22916666666666666,0.29729729729729726
27,0.4074074074074074,0.22916666666666666,0.2933333333333333
28,0.39285714285714285,0.22916666666666666,0.2894736842105263
29,0.3793103448275862,0.22916666666666666,0.28571428571428575
30,0.36666666666666664,0.22916666666666666,0.28205128205128205
31,0.3548387096774194,0.22916666666666666,0.27848101265822783
32,0.34375,0.22916666666666666,0.27499999999999997
33,0.3333333333333333,0.22916666666666666,0.2716049382716049
34,0.35294117647058826,0.25,0.2926829268292683
35,0.34285714285714286,0.25,0.2891566265060241
36,0.3333333333333333,0.25,0.28571428571428575
37,0.32432432432432434,0.25,0.2823529411764706
38,0.3157894736842105,0.25,0.27906976744186046
39,0.3076923076923077,0.25,0.27586206896551724
40,0.325,0.2708333333333333,0.2954545454545454
