Top_N,Precision,Recall,F1_Score
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.2,0.020833333333333332,0.03773584905660377
6,0.16666666666666666,0.020833333333333332,0.037037037037037035
7,0.14285714285714285,0.020833333333333332,0.03636363636363636
8,0.125,0.020833333333333332,0.03571428571428571
9,0.1111111111111111,0.020833333333333332,0.03508771929824561
10,0.1,0.020833333333333332,0.034482758620689655
11,0.09090909090909091,0.020833333333333332,0.03389830508474576
12,0.08333333333333333,0.020833333333333332,0.03333333333333333
13,0.07692307692307693,0.020833333333333332,0.03278688524590164
14,0.07142857142857142,0.020833333333333332,0.03225806451612903
15,0.06666666666666667,0.020833333333333332,0.031746031746031744
16,0.125,0.041666666666666664,0.0625
17,0.11764705882352941,0.041666666666666664,0.06153846153846154
18,0.1111111111111111,0.041666666666666664,0.06060606060606061
19,0.10526315789473684,0.041666666666666664,0.05970149253731344
20,0.1,0.041666666666666664,0.058823529411764705
21,0.14285714285714285,0.0625,0.08695652173913043
22,0.13636363636363635,0.0625,0.08571428571428572
23,0.17391304347826086,0.08333333333333333,0.11267605633802817
24,0.20833333333333334,0.10416666666666667,0.1388888888888889
25,0.2,0.10416666666666667,0.136986301369863
26,0.19230769230769232,0.10416666666666667,0.13513513513513514
27,0.18518518518518517,0.10416666666666667,0.13333333333333333
28,0.21428571428571427,0.125,0.15789473684210525
29,0.2413793103448276,0.14583333333333334,0.18181818181818185
30,0.26666666666666666,0.16666666666666666,0.2051282051282051
31,0.25806451612903225,0.16666666666666666,0.20253164556962025
32,0.25,0.16666666666666666,0.2
33,0.24242424242424243,0.16666666666666666,0.19753086419753085
34,0.23529411764705882,0.16666666666666666,0.19512195121951217
35,0.22857142857142856,0.16666666666666666,0.19277108433734938
36,0.2222222222222222,0.16666666666666666,0.1904761904761905
37,0.21621621621621623,0.16666666666666666,0.18823529411764706
38,0.21052631578947367,0.16666666666666666,0.186046511627907
39,0.23076923076923078,0.1875,0.20689655172413793
40,0.225,0.1875,0.20454545454545456
