Top_N,Precision,Recall,F1_Score
1,1.0,0.020833333333333332,0.04081632653061225
2,1.0,0.041666666666666664,0.07999999999999999
3,1.0,0.0625,0.11764705882352941
4,1.0,0.08333333333333333,0.15384615384615385
5,0.8,0.08333333333333333,0.1509433962264151
6,0.8333333333333334,0.10416666666666667,0.1851851851851852
7,0.7142857142857143,0.10416666666666667,0.18181818181818182
8,0.625,0.10416666666666667,0.1785714285714286
9,0.6666666666666666,0.125,0.21052631578947367
10,0.7,0.14583333333333334,0.2413793103448276
11,0.6363636363636364,0.14583333333333334,0.23728813559322035
12,0.5833333333333334,0.14583333333333334,0.23333333333333336
13,0.5384615384615384,0.14583333333333334,0.22950819672131148
14,0.5,0.14583333333333334,0.22580645161290322
15,0.4666666666666667,0.14583333333333334,0.22222222222222224
16,0.4375,0.14583333333333334,0.21875000000000003
17,0.4117647058823529,0.14583333333333334,0.2153846153846154
18,0.4444444444444444,0.16666666666666666,0.24242424242424243
19,0.42105263157894735,0.16666666666666666,0.23880597014925375
20,0.4,0.16666666666666666,0.23529411764705882
21,0.38095238095238093,0.16666666666666666,0.2318840579710145
22,0.36363636363636365,0.16666666666666666,0.2285714285714286
23,0.34782608695652173,0.16666666666666666,0.22535211267605634
24,0.3333333333333333,0.16666666666666666,0.2222222222222222
25,0.32,0.16666666666666666,0.2191780821917808
26,0.3076923076923077,0.16666666666666666,0.21621621621621623
27,0.3333333333333333,0.1875,0.24000000000000005
28,0.32142857142857145,0.1875,0.23684210526315794
29,0.3448275862068966,0.20833333333333334,0.25974025974025977
30,0.3333333333333333,0.20833333333333334,0.25641025641025644
31,0.3225806451612903,0.20833333333333334,0.25316455696202533
32,0.3125,0.20833333333333334,0.25
33,0.30303030303030304,0.20833333333333334,0.2469135802469136
34,0.29411764705882354,0.20833333333333334,0.24390243902439027
35,0.3142857142857143,0.22916666666666666,0.26506024096385544
36,0.3055555555555556,0.22916666666666666,0.2619047619047619
37,0.2972972972972973,0.22916666666666666,0.2588235294117647
38,0.2894736842105263,0.22916666666666666,0.2558139534883721
39,0.28205128205128205,0.22916666666666666,0.2528735632183908
40,0.275,0.22916666666666666,0.25
