Top_N,Precision,Recall,F1_Score
1,1.0,0.006578947368421052,0.013071895424836602
2,0.5,0.006578947368421052,0.012987012987012988
3,0.6666666666666666,0.013157894736842105,0.025806451612903226
4,0.5,0.013157894736842105,0.025641025641025637
5,0.4,0.013157894736842105,0.025477707006369425
6,0.3333333333333333,0.013157894736842105,0.02531645569620253
7,0.42857142857142855,0.019736842105263157,0.03773584905660377
8,0.375,0.019736842105263157,0.0375
9,0.3333333333333333,0.019736842105263157,0.037267080745341616
10,0.4,0.02631578947368421,0.04938271604938271
11,0.36363636363636365,0.02631578947368421,0.049079754601226995
12,0.3333333333333333,0.02631578947368421,0.048780487804878044
13,0.3076923076923077,0.02631578947368421,0.048484848484848485
14,0.2857142857142857,0.02631578947368421,0.04819277108433735
15,0.26666666666666666,0.02631578947368421,0.047904191616766456
16,0.3125,0.03289473684210526,0.05952380952380952
17,0.29411764705882354,0.03289473684210526,0.059171597633136085
18,0.2777777777777778,0.03289473684210526,0.058823529411764705
19,0.2631578947368421,0.03289473684210526,0.05847953216374269
20,0.25,0.03289473684210526,0.05813953488372093
21,0.2857142857142857,0.039473684210526314,0.06936416184971098
22,0.2727272727272727,0.039473684210526314,0.06896551724137931
23,0.30434782608695654,0.046052631578947366,0.08
24,0.2916666666666667,0.046052631578947366,0.07954545454545454
25,0.28,0.046052631578947366,0.07909604519774012
26,0.2692307692307692,0.046052631578947366,0.07865168539325842
27,0.25925925925925924,0.046052631578947366,0.0782122905027933
28,0.25,0.046052631578947366,0.07777777777777778
29,0.2413793103448276,0.046052631578947366,0.07734806629834252
30,0.23333333333333334,0.046052631578947366,0.07692307692307691
31,0.22580645161290322,0.046052631578947366,0.07650273224043716
32,0.21875,0.046052631578947366,0.07608695652173914
33,0.21212121212121213,0.046052631578947366,0.07567567567567568
34,0.20588235294117646,0.046052631578947366,0.07526881720430108
35,0.22857142857142856,0.05263157894736842,0.08556149732620319
36,0.25,0.05921052631578947,0.09574468085106382
37,0.24324324324324326,0.05921052631578947,0.09523809523809522
38,0.2631578947368421,0.06578947368421052,0.10526315789473684
39,0.28205128205128205,0.07236842105263158,0.11518324607329844
40,0.3,0.07894736842105263,0.125
41,0.2926829268292683,0.07894736842105263,0.12435233160621761
42,0.30952380952380953,0.08552631578947369,0.13402061855670105
43,0.32558139534883723,0.09210526315789473,0.14358974358974358
44,0.3409090909090909,0.09868421052631579,0.15306122448979592
45,0.3333333333333333,0.09868421052631579,0.15228426395939088
46,0.34782608695652173,0.10526315789473684,0.16161616161616163
47,0.3617021276595745,0.1118421052631579,0.17085427135678394
48,0.3541666666666667,0.1118421052631579,0.16999999999999998
49,0.3469387755102041,0.1118421052631579,0.1691542288557214
50,0.36,0.11842105263157894,0.1782178217821782
51,0.35294117647058826,0.11842105263157894,0.17733990147783252
52,0.34615384615384615,0.11842105263157894,0.17647058823529413
53,0.33962264150943394,0.11842105263157894,0.17560975609756097
54,0.3333333333333333,0.11842105263157894,0.17475728155339806
55,0.32727272727272727,0.11842105263157894,0.17391304347826086
56,0.32142857142857145,0.11842105263157894,0.17307692307692307
57,0.3157894736842105,0.11842105263157894,0.1722488038277512
58,0.3103448275862069,0.11842105263157894,0.17142857142857143
59,0.3050847457627119,0.11842105263157894,0.17061611374407581
60,0.3,0.11842105263157894,0.169811320754717
61,0.29508196721311475,0.11842105263157894,0.16901408450704228
62,0.3064516129032258,0.125,0.17757009345794392
63,0.30158730158730157,0.125,0.17674418604651163
64,0.296875,0.125,0.17592592592592593
65,0.2923076923076923,0.125,0.17511520737327188
