Top_N,Precision,Recall,F1_Score
1,1.0,0.020833333333333332,0.04081632653061225
2,1.0,0.041666666666666664,0.07999999999999999
3,0.6666666666666666,0.041666666666666664,0.0784313725490196
4,0.5,0.041666666666666664,0.07692307692307693
5,0.6,0.0625,0.11320754716981132
6,0.6666666666666666,0.08333333333333333,0.14814814814814814
7,0.7142857142857143,0.10416666666666667,0.18181818181818182
8,0.625,0.10416666666666667,0.1785714285714286
9,0.5555555555555556,0.10416666666666667,0.1754385964912281
10,0.5,0.10416666666666667,0.1724137931034483
11,0.5454545454545454,0.125,0.20338983050847456
12,0.5833333333333334,0.14583333333333334,0.23333333333333336
13,0.5384615384615384,0.14583333333333334,0.22950819672131148
14,0.5,0.14583333333333334,0.22580645161290322
15,0.4666666666666667,0.14583333333333334,0.22222222222222224
16,0.4375,0.14583333333333334,0.21875000000000003
17,0.4117647058823529,0.14583333333333334,0.2153846153846154
18,0.3888888888888889,0.14583333333333334,0.21212121212121213
19,0.3684210526315789,0.14583333333333334,0.20895522388059704
20,0.35,0.14583333333333334,0.20588235294117646
21,0.3333333333333333,0.14583333333333334,0.2028985507246377
22,0.3181818181818182,0.14583333333333334,0.2
23,0.30434782608695654,0.14583333333333334,0.19718309859154928
24,0.2916666666666667,0.14583333333333334,0.19444444444444448
25,0.28,0.14583333333333334,0.1917808219178082
26,0.3076923076923077,0.16666666666666666,0.21621621621621623
27,0.3333333333333333,0.1875,0.24000000000000005
28,0.35714285714285715,0.20833333333333334,0.2631578947368421
29,0.3448275862068966,0.20833333333333334,0.25974025974025977
30,0.36666666666666664,0.22916666666666666,0.28205128205128205
31,0.3548387096774194,0.22916666666666666,0.27848101265822783
32,0.34375,0.22916666666666666,0.27499999999999997
33,0.3333333333333333,0.22916666666666666,0.2716049382716049
34,0.3235294117647059,0.22916666666666666,0.26829268292682923
35,0.3142857142857143,0.22916666666666666,0.26506024096385544
36,0.3055555555555556,0.22916666666666666,0.2619047619047619
37,0.2972972972972973,0.22916666666666666,0.2588235294117647
38,0.3157894736842105,0.25,0.27906976744186046
39,0.3076923076923077,0.25,0.27586206896551724
40,0.3,0.25,0.2727272727272727
