Top_N,Precision,Recall,F1_Score
1,0.0,0.0,0.0
2,0.5,0.020833333333333332,0.039999999999999994
3,0.6666666666666666,0.041666666666666664,0.0784313725490196
4,0.5,0.041666666666666664,0.07692307692307693
5,0.4,0.041666666666666664,0.07547169811320754
6,0.5,0.0625,0.1111111111111111
7,0.42857142857142855,0.0625,0.10909090909090909
8,0.375,0.0625,0.10714285714285714
9,0.3333333333333333,0.0625,0.10526315789473684
10,0.3,0.0625,0.10344827586206896
11,0.2727272727272727,0.0625,0.10169491525423728
12,0.25,0.0625,0.1
13,0.23076923076923078,0.0625,0.09836065573770492
14,0.21428571428571427,0.0625,0.09677419354838708
15,0.2,0.0625,0.09523809523809523
16,0.1875,0.0625,0.09375
17,0.17647058823529413,0.0625,0.09230769230769231
18,0.16666666666666666,0.0625,0.09090909090909091
19,0.15789473684210525,0.0625,0.08955223880597014
20,0.15,0.0625,0.08823529411764706
21,0.14285714285714285,0.0625,0.08695652173913043
22,0.13636363636363635,0.0625,0.08571428571428572
23,0.13043478260869565,0.0625,0.08450704225352113
24,0.125,0.0625,0.08333333333333333
25,0.16,0.08333333333333333,0.1095890410958904
26,0.15384615384615385,0.08333333333333333,0.10810810810810811
27,0.14814814814814814,0.08333333333333333,0.10666666666666667
28,0.14285714285714285,0.08333333333333333,0.10526315789473685
29,0.13793103448275862,0.08333333333333333,0.1038961038961039
30,0.13333333333333333,0.08333333333333333,0.10256410256410255
31,0.12903225806451613,0.08333333333333333,0.10126582278481013
32,0.15625,0.10416666666666667,0.125
33,0.18181818181818182,0.125,0.14814814814814814
34,0.17647058823529413,0.125,0.14634146341463414
35,0.17142857142857143,0.125,0.14457831325301204
36,0.16666666666666666,0.125,0.14285714285714288
37,0.1891891891891892,0.14583333333333334,0.1647058823529412
38,0.21052631578947367,0.16666666666666666,0.186046511627907
39,0.20512820512820512,0.16666666666666666,0.18390804597701146
40,0.2,0.16666666666666666,0.1818181818181818
