Top_N,Precision,Recall,F1_Score
1,1.0,0.006578947368421052,0.013071895424836602
2,0.5,0.006578947368421052,0.012987012987012988
3,0.6666666666666666,0.013157894736842105,0.025806451612903226
4,0.5,0.013157894736842105,0.025641025641025637
5,0.6,0.019736842105263157,0.03821656050955414
6,0.5,0.019736842105263157,0.03797468354430379
7,0.5714285714285714,0.02631578947368421,0.050314465408805034
8,0.5,0.02631578947368421,0.05
9,0.4444444444444444,0.02631578947368421,0.04968944099378882
10,0.4,0.02631578947368421,0.04938271604938271
11,0.45454545454545453,0.03289473684210526,0.061349693251533735
12,0.4166666666666667,0.03289473684210526,0.06097560975609756
13,0.38461538461538464,0.03289473684210526,0.0606060606060606
14,0.42857142857142855,0.039473684210526314,0.07228915662650602
15,0.4,0.039473684210526314,0.0718562874251497
16,0.375,0.039473684210526314,0.07142857142857142
17,0.35294117647058826,0.039473684210526314,0.0710059171597633
18,0.3333333333333333,0.039473684210526314,0.07058823529411765
19,0.3157894736842105,0.039473684210526314,0.07017543859649122
20,0.3,0.039473684210526314,0.0697674418604651
21,0.3333333333333333,0.046052631578947366,0.08092485549132948
22,0.36363636363636365,0.05263157894736842,0.09195402298850575
23,0.34782608695652173,0.05263157894736842,0.09142857142857143
24,0.375,0.05921052631578947,0.10227272727272727
25,0.4,0.06578947368421052,0.11299435028248586
26,0.38461538461538464,0.06578947368421052,0.11235955056179775
27,0.37037037037037035,0.06578947368421052,0.111731843575419
28,0.35714285714285715,0.06578947368421052,0.1111111111111111
29,0.3448275862068966,0.06578947368421052,0.11049723756906077
30,0.3333333333333333,0.06578947368421052,0.10989010989010989
31,0.3225806451612903,0.06578947368421052,0.1092896174863388
32,0.3125,0.06578947368421052,0.10869565217391304
33,0.3333333333333333,0.07236842105263158,0.11891891891891891
34,0.3235294117647059,0.07236842105263158,0.11827956989247312
35,0.3142857142857143,0.07236842105263158,0.11764705882352941
36,0.3055555555555556,0.07236842105263158,0.1170212765957447
37,0.2972972972972973,0.07236842105263158,0.11640211640211641
38,0.3157894736842105,0.07894736842105263,0.1263157894736842
39,0.3333333333333333,0.08552631578947369,0.13612565445026178
40,0.325,0.08552631578947369,0.13541666666666669
41,0.3170731707317073,0.08552631578947369,0.13471502590673576
42,0.30952380952380953,0.08552631578947369,0.13402061855670105
43,0.32558139534883723,0.09210526315789473,0.14358974358974358
44,0.3181818181818182,0.09210526315789473,0.14285714285714285
45,0.3111111111111111,0.09210526315789473,0.14213197969543145
46,0.30434782608695654,0.09210526315789473,0.1414141414141414
47,0.2978723404255319,0.09210526315789473,0.1407035175879397
48,0.2916666666666667,0.09210526315789473,0.13999999999999999
49,0.2857142857142857,0.09210526315789473,0.13930348258706468
50,0.28,0.09210526315789473,0.13861386138613863
51,0.27450980392156865,0.09210526315789473,0.13793103448275862
52,0.2692307692307692,0.09210526315789473,0.1372549019607843
53,0.2641509433962264,0.09210526315789473,0.13658536585365855
54,0.25925925925925924,0.09210526315789473,0.13592233009708737
55,0.2545454545454545,0.09210526315789473,0.13526570048309175
56,0.25,0.09210526315789473,0.1346153846153846
57,0.24561403508771928,0.09210526315789473,0.1339712918660287
58,0.2413793103448276,0.09210526315789473,0.13333333333333333
59,0.23728813559322035,0.09210526315789473,0.13270142180094788
60,0.23333333333333334,0.09210526315789473,0.13207547169811318
61,0.22950819672131148,0.09210526315789473,0.13145539906103285
62,0.22580645161290322,0.09210526315789473,0.13084112149532712
63,0.2222222222222222,0.09210526315789473,0.13023255813953488
64,0.234375,0.09868421052631579,0.1388888888888889
