Top_N,Precision,Recall,F1_Score
1,1.0,0.020833333333333332,0.04081632653061225
2,1.0,0.041666666666666664,0.07999999999999999
3,0.6666666666666666,0.041666666666666664,0.0784313725490196
4,0.5,0.041666666666666664,0.07692307692307693
5,0.6,0.0625,0.11320754716981132
6,0.6666666666666666,0.08333333333333333,0.14814814814814814
7,0.7142857142857143,0.10416666666666667,0.18181818181818182
8,0.625,0.10416666666666667,0.1785714285714286
9,0.5555555555555556,0.10416666666666667,0.1754385964912281
10,0.6,0.125,0.20689655172413793
11,0.6363636363636364,0.14583333333333334,0.23728813559322035
12,0.6666666666666666,0.16666666666666666,0.26666666666666666
13,0.6153846153846154,0.16666666666666666,0.26229508196721313
14,0.6428571428571429,0.1875,0.2903225806451613
15,0.6,0.1875,0.2857142857142857
16,0.5625,0.1875,0.28125
17,0.5294117647058824,0.1875,0.27692307692307694
18,0.5,0.1875,0.2727272727272727
19,0.47368421052631576,0.1875,0.2686567164179105
20,0.45,0.1875,0.26470588235294124
21,0.42857142857142855,0.1875,0.26086956521739124
22,0.45454545454545453,0.20833333333333334,0.28571428571428575
23,0.43478260869565216,0.20833333333333334,0.28169014084507044
24,0.4166666666666667,0.20833333333333334,0.2777777777777778
25,0.4,0.20833333333333334,0.273972602739726
26,0.38461538461538464,0.20833333333333334,0.2702702702702703
27,0.37037037037037035,0.20833333333333334,0.26666666666666666
28,0.35714285714285715,0.20833333333333334,0.2631578947368421
29,0.3448275862068966,0.20833333333333334,0.25974025974025977
30,0.3333333333333333,0.20833333333333334,0.25641025641025644
31,0.3225806451612903,0.20833333333333334,0.25316455696202533
32,0.3125,0.20833333333333334,0.25
33,0.3333333333333333,0.22916666666666666,0.2716049382716049
34,0.3235294117647059,0.22916666666666666,0.26829268292682923
35,0.34285714285714286,0.25,0.2891566265060241
36,0.3333333333333333,0.25,0.28571428571428575
37,0.32432432432432434,0.25,0.2823529411764706
38,0.3157894736842105,0.25,0.27906976744186046
39,0.3076923076923077,0.25,0.27586206896551724
40,0.3,0.25,0.2727272727272727
