Gene	Frequency
PIK3CA	273
TP53	264
CDH1	102
GATA3	96
MAP3K1	66
SYNE1	50
PTEN	48
RYR2	46
USH2A	41
ZFHX4	38
NCOR1	38
OBSCN	38
MAP2K4	32
RUNX1	32
CSMD3	30
NF1	30
NEB	30
HUWE1	29
RYR3	29
TBX3	27
FOXA1	27
PCLO	27
SPEN	26
ARID1A	26
DNAH11	25
SYNE2	25
LRP1B	25
MYH9	24
AKT1	24
ERBB2	23
XIRP2	23
AKAP9	23
MYCBP2	23
DNAH17	23
PIK3R1	23
RYR1	22
AHNAK	22
USP9X	22
CHD4	22
CACNA1E	22
MDN1	22
DNAH6	22
BRCA1	22
PDZD2	21
CENPE	21
MXRA5	21
F8	21
MED12	21
DNAH5	21
TPR	21
PRKDC	20
SRCAP	20
MUC17	20
SPTA1	20
FAT2	20
USP34	20
MYO18B	20
LYST	20
KIAA2022	20
RB1	20
DMD	20
BRCA2	20
FLNA	19
BIRC6	19
MLLT4	19
KDM6A	18
DCHS2	18
ITPR3	18
NOTCH2	18
PTPRD	17
C2orf16	17
LCT	17
UTRN	17
RP1	17
CASP8	17
CREBBP	17
ZAN	17
HERC1	17
ATM	17
ACTN2	17
SF3B1	17
GRIN2A	17
CTCF	16
MYO10	16
TLN1	16
ATRX	16
SETD2	16
CHD7	16
TAF1	16
PLCE1	16
MYH7B	16
MYO16	16
HECW1	16
PKHD1	16
LAMA2	16
RPGR	16
ARID1B	16
ANKHD1	16
SCN1A	16
BSN	16
SCN10A	16
AFF2	16
PEG3	16
CMYA5	15
IGSF10	15
CACNA1B	15
SPHKAP	15
ZNF208	15
ZNF462	15
UBR5	15
RNF213	15
NRK	15
PREX2	15
ADAMTSL3	15
MTOR	15
HRNR	15
PDE4DIP	15
SI	15
FRAS1	15
VPS13A	15
FBXW7	14
SCN5A	14
NID1	14
SPTAN1	14
REV3L	14
MACF1	14
ERBB3	14
TG	14
CACNA1F	14
RAPGEF6	14
PTPRQ	14
FAT4	14
PCNXL2	14
FLG	14
EGFR	14
FHOD3	14
LAMB4	14
BAZ2B	14
RAD54B	14
GPR112	14
EP300	13
TSHZ3	13
CNTNAP5	13
APC	13
PLXNA2	13
MYH8	13
FAM186A	13
ZNF292	13
SPTB	13
MED23	13
MGA	13
UNC5D	13
TNRC6B	13
HTT	13
RGAG1	13
TRPA1	13
MYH14	13
TACC2	13
HEATR1	13
MUC2	13
MYH6	13
NUP160	13
TBC1D4	13
COL5A1	13
WDR44	13
PCDH19	13
UBR2	13
ZNF41	13
ZDBF2	13
ZEB2	12
NCOA6	12
TET2	12
GRIK1	12
TNXB	12
STAG2	12
COL19A1	12
AFF1	12
ADAMTS13	12
BAI3	12
CADPS	12
PTPRF	12
DSCAML1	12
WDR52	12
COL7A1	12
TEP1	12
CASK	12
ESF1	12
ADAMTS9	12
DYSF	12
ATP2B3	12
ZMYM3	12
BZRAP1	12
ABCA12	12
AKAP13	12
COL22A1	12
SPEG	12
GREB1L	12
ATP9A	12
UBR4	12
THADA	12
CPSF1	12
ESPL1	12
PXDNL	12
PCDHGA1	12
PHKA2	12
CUBN	12
NCOA3	12
NOS1	12
TNIK	12
ZMYM2	11
NBPF1	11
KIF26B	11
SGSM1	11
PDE3A	11
SLC8A1	11
ARHGEF11	11
NLGN3	11
DOCK2	11
KIF5C	11
RALGAPA1	11
TBC1D8	11
MORC1	11
MYO3A	11
MEGF8	11
CAD	11
DOCK7	11
MYO6	11
ABCC9	11
WWP2	11
SMARCA4	11
CELSR2	11
MAP2	11
UNC13A	11
ZFC3H1	11
ZNF608	11
ZNF648	11
SCN8A	11
PCDH11X	11
ITPR1	11
RBBP6	11
ADCY9	11
BPTF	11
RPTOR	11
MYH15	11
SRGAP2	11
TRPM8	11
MED13	11
TMEM131	11
CEP170	11
NLRP2	11
DNAH12	11
CDH8	11
C2CD3	11
ADNP	10
TMPRSS15	10
CCDC136	10
LRBA	10
XPC	10
IL1RAP	10
SON	10
ANKRD12	10
SPG11	10
WDR49	10
MFI2	10
ATR	10
POLR3A	10
EPHA5	10
MAP3K13	10
DUSP27	10
SLC12A5	10
LAMB3	10
ITGA8	10
LRRC7	10
AGBL3	10
HDX	10
PCSK5	10
EIF4A2	10
HEATR5B	10
PPRC1	10
NRD1	10
UNC13C	10
MYO15A	10
CUL7	10
MED13L	10
CROCC	10
SCN3A	10
FSTL5	10
GRIK2	10
TANC1	10
CCDC88A	10
BCL9	10
HECW2	10
COL18A1	10
RTL1	10
CDK12	10
HSPG2	10
ACACA	10
TRAPPC9	10
NHS	10
MAST4	10
JAK3	10
UHRF1BP1L	10
MBD5	10
DOCK1	10
TLR4	10
SUPT6H	10
ZNF546	10
RASGRF1	10
MUC6	10
SRRM2	10
ARID2	10
SLC4A2	10
DEPDC5	10
COL4A2	10
CNTN6	10
MUC5B	10
UNC80	10
EIF2AK4	10
EP400	10
ATAD2	10
EXOC2	10
STAG1	10
LRRC16A	10
HDLBP	10
TRHDE	10
TRIOBP	10
TOPBP1	10
UGGT2	10
MIA3	10
DNAJC13	10
DMXL1	10
NLRC5	10
RAB3GAP2	10
IARS	10
ATP8B3	10
ADAM29	10
LAMB2	10
DNMT1	10
BCOR	10
NEDD9	10
POGZ	10
THSD4	9
DAB1	9
FAP	9
INTS6	9
TET1	9
NAV3	9
DAAM2	9
MYO18A	9
FGFR2	9
OTOA	9
ZNF814	9
GPS2	9
MAP3K4	9
RIF1	9
PBRM1	9
AARS	9
PTPRE	9
NOS3	9
OXR1	9
CHD2	9
CECR2	9
KALRN	9
KIAA0319	9
WHSC1L1	9
COPA	9
PPP1R3A	9
NOTCH4	9
ABCA3	9
L1CAM	9
KIRREL	9
IRS4	9
DMBT1	9
CR1	9
DPCR1	9
AR	9
PI4KA	9
DOPEY1	9
ZBTB41	9
CPAMD8	9
FMN1	9
EHMT1	9
GRID2	9
WWC1	9
PLEC	9
CASZ1	9
ANO4	9
SYMPK	9
KIF1A	9
PDGFRA	9
ABCC12	9
BAP1	9
ADCY10	9
NCOA1	9
HECTD1	9
LATS1	9
GLDC	9
CEP152	9
NUP107	9
FAM13C	9
ERBB4	9
PRDM10	9
IGSF1	9
C2orf71	9
MGAT5B	9
RPS6KA2	9
ADCY5	9
PDE10A	9
ADAM19	9
TMC2	9
PIKFYVE	9
NCKAP5	9
GPSM2	9
KDM3B	9
HNRNPA2B1	9
LRP4	9
INSR	9
TRANK1	9
GCN1L1	9
TTC21A	9
KIAA1033	9
GFPT2	9
MCM7	9
SYCP2	9
GAPVD1	9
RASAL2	9
ITGA1	9
EFCAB6	9
KIAA1244	9
MAML2	9
PCDHGA2	9
XRRA1	9
SMC1A	9
HERC6	9
EPHB1	9
APBA2	9
SMARCC2	9
CHEK2	8
CCDC57	8
LTBP1	8
HIST1H2BC	8
FGD2	8
FTSJ3	8
FAM171B	8
SUPT16H	8
RALGAPA2	8
SAFB2	8
ADAMTS7	8
RICTOR	8
UMODL1	8
DLGAP2	8
BBX	8
KCNQ3	8
KIAA1549	8
LPP	8
PTK2	8
DICER1	8
UNC13B	8
PDILT	8
ARHGEF7	8
ACACB	8
ITGA10	8
MPDZ	8
CABIN1	8
ANAPC1	8
PGM5	8
LRRC8C	8
IDE	8
MECOM	8
PPP4R4	8
MID1	8
UPF2	8
NACAD	8
CADPS2	8
HLTF	8
SLC26A9	8
ZNF217	8
MYBPC3	8
ANO2	8
SLFN13	8
OBSL1	8
TNRC6A	8
ATP1A4	8
SH2B1	8
DCLK2	8
TTLL7	8
LRRC37A3	8
EPHB3	8
ALG13	8
TRAF5	8
TBCD	8
CDK5RAP2	8
ABL2	8
NOMO1	8
C9orf84	8
TBL1XR1	8
MDGA1	8
ANPEP	8
PLEKHA5	8
FAM47B	8
HAUS5	8
MCF2L2	8
CTCFL	8
ABCA4	8
HRC	8
TTC3	8
MSH5	8
CYFIP2	8
SIN3A	8
DSE	8
PDZRN3	8
NLGN4X	8
ZNFX1	8
RALGAPB	8
SYNPO2	8
ATRN	8
PARP1	8
SLITRK3	8
PHF20L1	8
PARP14	8
CARNS1	8
FBF1	8
WWC3	8
ZNF540	8
ABCC8	8
PDE1C	8
ANKFN1	8
ANKRD30B	8
ITGAX	8
SLCO2A1	8
SLC9A2	8
RGS7	8
DNAH7	8
LRCH3	8
MKI67	8
PLCG1	8
ZFYVE28	8
CYP2A13	8
RET	8
FANCA	8
SCRIB	8
NCOA2	8
PRKD2	8
INTS1	8
LPIN2	8
KCNH6	8
CGN	8
DDX5	8
C10orf12	8
ABCC4	8
POTEH	8
RIMS1	8
PLEKHG1	8
ITK	8
EPRS	8
KDM4C	8
DOCK9	8
MYO1H	8
VPRBP	8
ZCCHC6	8
GLYR1	8
MAP3K5	8
TLR3	8
ZSWIM4	8
DDX26B	8
CCDC135	8
SOX6	8
CNTNAP1	8
URB1	8
EPB41L2	8
SALL1	8
SYNJ1	8
RERE	8
INTS8	8
SEC24C	8
LRP6	8
VPS41	8
NIPBL	8
SMCHD1	8
ROCK2	8
KIAA1324L	8
PC	8
IL1RL2	8
SEMA3D	8
TRPM5	8
POLE	8
ILF2	8
KCNH3	8
MARK1	8
PALB2	7
PPEF2	7
OVCH1	7
ABCC3	7
CAPRIN2	7
ZBED4	7
CENPF	7
PSME4	7
RBP3	7
SFMBT1	7
TTBK2	7
TRPS1	7
AKT3	7
BRAF	7
CCDC39	7
SNED1	7
FNDC1	7
STON1-GTF2A1L	7
PLA2G4A	7
KCNQ5	7
USO1	7
GABBR2	7
IDH1	7
DDX43	7
GALNT11	7
KIAA0100	7
MYO3B	7
TAOK2	7
FLAD1	7
ZNF496	7
PER2	7
PRX	7
EMR2	7
NCOR2	7
ROBO4	7
LPHN1	7
TCEB3B	7
CARD11	7
EVPL	7
RBM19	7
RASA3	7
MYB	7
EXT2	7
HCFC2	7
DHX30	7
AP4M1	7
FAF2	7
RANBP6	7
XKR4	7
NBEAL1	7
FAM65B	7
PPFIA1	7
KCND3	7
KIAA1107	7
KIRREL2	7
SBNO1	7
NLRP12	7
ALDH18A1	7
PTPRA	7
ZNF687	7
ACVR1B	7
TUBGCP2	7
NPAS3	7
PCDHGB7	7
ABCB1	7
ZC3H12C	7
PTGS2	7
ESYT3	7
ANAPC5	7
COL6A1	7
ZC3HAV1	7
CDKN1B	7
ATHL1	7
MAGEC3	7
PSMD1	7
PCDHGA11	7
ALOXE3	7
MYO9B	7
FARP2	7
FN1	7
ALK	7
LMOD1	7
EXO1	7
YEATS2	7
ZFP36L1	7
FAM193A	7
SPAG5	7
NPC1	7
RNF40	7
GNAS	7
IMPG1	7
MBD6	7
SUZ12	7
RBM33	7
TCTN2	7
KIAA1614	7
CKAP5	7
