Gene	Frequency
APC	198
TP53	162
TTN	144
KRAS	127
MUC16	86
PIK3CA	84
SYNE1	81
OBSCN	72
FAT4	70
RYR2	58
PCLO	56
RYR1	50
ABCA13	48
LRP1B	47
USH2A	46
BRAF	44
MUC5B	43
GPR98	42
FBXW7	41
SOX9	41
SDK1	40
DCHS2	40
FLG	40
CSMD2	39
UNC80	39
KIAA1109	38
CACNA1E	37
PCDH15	37
ATM	37
DMD	37
DNAH17	36
HMCN1	36
MYCBP2	36
ARID1A	36
SACS	35
SMAD4	35
COL5A1	34
HECW1	34
ZNF469	34
VPS13B	34
RNF43	33
FAT1	33
FLNC	33
WDFY4	32
DNAH3	32
DNHD1	32
FBN3	32
TCF7L2	32
DNAH9	32
GLI3	32
TSHZ3	31
UNC13C	31
TRPS1	30
FRY	30
MBD6	30
DNAH10	30
COL7A1	30
ZNF536	29
AHNAK	29
MEGF8	29
ANK2	29
MYO18B	29
ABCA2	28
DNAH7	28
BCL9L	28
SCN9A	28
BMPR2	28
CELSR1	28
DNAH6	27
PCDH9	27
PLEC	27
ANKRD11	27
CHD7	27
SVIL	27
MUC17	27
COL6A3	27
LAMA5	27
CACNA1B	27
PLXNA4	26
CDH23	26
MUC4	26
ITPR3	26
STAB1	26
DYNC1H1	26
COL11A1	26
LPHN3	26
MTOR	26
PDE4DIP	25
FLNB	25
BNC2	25
EVC2	25
CACNA1C	25
ASH1L	25
SCN5A	25
NAV3	25
ADAMTS2	25
MYO15A	25
NRXN1	24
ATG2A	24
SRRM2	24
PKD1L1	24
MYH9	24
ADAMTSL3	24
AKAP9	24
PTPRT	24
THSD7B	24
MTUS2	24
TNR	23
LAMA4	23
ADAMTS16	23
GRIN2A	23
ABCA4	23
ABCA1	23
ROS1	23
FLNA	23
BCL9	23
USP9X	23
A2ML1	23
ACVR2A	23
ERBB4	23
PCNT	23
ZBTB20	23
ZAN	23
AKAP6	22
CTNNB1	22
PLXNB2	22
GRIA2	22
ABCA12	22
HSPG2	22
PRUNE2	22
NBEAL2	22
ZNF646	22
CUL9	22
SCN3A	22
SLIT1	22
CNTNAP2	22
IGSF9B	22
UBR5	22
BCORL1	22
RTL1	21
PCDH7	21
ARHGEF17	21
CARD11	21
FAM179A	21
DCC	21
CEP170	21
REV3L	21
SETD2	21
DMXL1	21
CHD4	21
RADIL	20
ATRX	20
ASXL1	20
KCNB2	20
MYH6	20
LAMC3	20
GRIK2	20
GPR179	20
AKAP13	20
KALRN	20
WNK2	20
TANC2	20
NOL6	20
CACNA1G	20
VPS13A	20
SLIT3	20
LTBP2	20
C5orf42	20
CASZ1	20
LRP2	20
JPH3	20
CMYA5	20
PLEKHA6	20
PTEN	20
COL20A1	20
ACACA	20
PLXNA2	19
KIAA1549	19
BAI2	19
TCHH	19
GPR112	19
TAF1L	19
F8	19
PCDHA8	19
TRHDE	19
POLE	19
DDX60L	19
PTPN13	19
ADCY8	19
CPAMD8	19
MYH3	19
KIF21A	19
NF1	19
CHD6	19
SAMD9	19
PLXNB1	19
COL18A1	19
ADAMTSL4	19
CTTNBP2	19
ZNF831	19
DLC1	19
MYH2	19
IGSF10	19
DMBT1	19
MYH8	19
MAST4	18
SETX	18
POLQ	18
CHL1	18
DNAH12	18
PPL	18
CACNA2D1	18
TULP4	18
LARP4B	18
CENPF	18
FRAS1	18
DCAF12L2	18
ADAMTS20	18
EPHA6	18
WBSCR17	18
SMTN	18
SHANK2	18
LYST	18
RIF1	18
LTBP4	18
MKI67	18
ITPR1	18
STON1-GTF2A1L	18
ZNF292	18
SEC16A	18
HDAC9	18
NRG1	18
ACE	18
FAM193A	18
RGS22	18
COBL	18
GREB1	18
SALL4	18
NCKAP5	18
FER1L6	18
PTPRK	18
ADAMTS9	18
ABI3BP	18
PCDHA4	18
SV2C	17
SBF1	17
ZFP36L2	17
AXIN2	17
CACNA1I	17
HEATR1	17
DOPEY1	17
OBSL1	17
DOCK6	17
SCN10A	17
AGRN	17
PHRF1	17
DAAM2	17
SORCS1	17
NSD1	17
KIF1A	17
KSR2	17
TNRC18	17
FOLH1	17
SYNE2	17
TRPM6	17
ZNF318	17
PCDHB7	17
GRM5	17
EPHA3	17
CACNA1S	17
ADAMTSL1	17
ITPR2	17
ZZEF1	17
COL4A5	16
PLXND1	16
PTPRC	16
ADAMTS4	16
KLHL34	16
ABCA8	16
ARAP1	16
LMTK3	16
EIF3A	16
TRERF1	16
KIAA0195	16
HFM1	16
RFX7	16
LPHN2	16
NOTCH3	16
CCDC141	16
WWC3	16
TACC2	16
EVPL	16
PLCE1	16
PRDM10	16
TAOK2	16
TRRAP	16
SFMBT2	16
ATP7A	16
LRRIQ1	16
SALL1	16
ITGB4	16
VPS13D	16
FAM186A	16
ALPK2	16
COL6A2	16
PPFIA2	16
TRPC3	16
PGM5	16
LRFN5	16
RXFP3	16
MLLT4	16
KCNA1	16
PCDHA13	16
KIAA1239	16
PCDHGA8	16
FAM135B	16
CR1	16
ZNFX1	16
NCAPD3	16
NFATC1	16
ATP2B2	16
RAI1	16
SIPA1L1	16
ABCC1	16
NINL	16
GNAS	16
TCERG1	16
AHDC1	16
KIAA1462	15
MDGA1	15
PCNXL2	15
NLRP2	15
GIGYF1	15
FRMPD4	15
MAP2K7	15
MAP3K12	15
ASTN2	15
CHST15	15
ZNF521	15
CTNNA1	15
ARHGEF10	15
CARD6	15
HIRA	15
RNF40	15
DIP2B	15
PCDHA9	15
TMEM131	15
SPTBN2	15
ATG9B	15
HIVEP2	15
GLI2	15
UGGT2	15
TNKS1BP1	15
AKAP12	15
ROBO2	15
COL6A1	15
DPYD	15
FAM179B	15
EFCAB6	15
PLEKHG4B	15
TRIP11	15
PCDH20	15
TSHZ2	15
PPRC1	15
ZNF609	15
MDGA2	15
NEFM	15
LRRN1	15
AUTS2	15
HSPA2	15
LRP5	15
ITGB2	15
ZC3H13	15
COL5A3	15
OTOF	15
ZDBF2	15
A2M	15
YTHDC2	15
COL5A2	15
CTNND1	15
ZNF98	15
TPO	15
CKAP5	15
MAP3K1	15
LPHN1	15
ZNF208	15
ARFGEF2	15
KCND2	15
NLGN4X	15
TET1	15
WNK3	15
PCDHB2	15
TCF20	15
PRDM16	15
MYO9B	15
RAD51AP2	15
ABCA10	15
AFF4	15
RASGRF1	15
SMC2	15
FAM184B	15
THBS2	15
OR6K2	15
N4BP2	15
KIF1B	15
TIAM2	15
DSPP	14
EVC	14
LRRK1	14
SRGAP3	14
KIAA1429	14
CPS1	14
INSRR	14
CADPS2	14
LAMB2	14
PLCB3	14
CENPE	14
PCDHA10	14
BRWD1	14
KIAA1107	14
COL1A2	14
FBLN2	14
GRIN3A	14
FGD6	14
DNM3	14
FKBP15	14
HIP1R	14
TNK2	14
WNK4	14
PLEKHA5	14
ROBO3	14
HELZ	14
GBF1	14
HECW2	14
ZFR2	14
ATP10B	14
ITGA10	14
GPSM2	14
XRN1	14
NCOA2	14
IQCA1	14
TMEM132B	14
ITGAX	14
FANCA	14
EFEMP1	14
CLASP1	14
AHRR	14
MTMR4	14
USP24	14
NAV1	14
CHST2	14
PTPRN2	14
DUOX1	14
PAPLN	14
MST1R	14
KCNQ3	14
AR	14
EPS8L1	14
PITPNM1	14
ESPNL	14
KIAA1009	14
SEMA3F	14
MAGEC3	14
SNX13	14
SEMA3C	14
PDS5B	14
MAP3K9	14
KIAA0430	14
ZNF91	14
ENAM	14
HGF	14
MYT1L	14
NID1	14
CLSTN2	14
PCDHGA4	14
NRG3	14
MKRN3	14
XIRP1	14
NLRP4	14
CDH2	14
ELMO1	14
GUCY2F	14
STAG1	14
GRIK4	14
INPPL1	14
MECOM	14
CCDC108	14
EPRS	14
NOD2	14
STAB2	14
RAPGEF2	14
AMOTL1	14
TRPM1	14
RBP3	14
PPP1R3A	14
MARK2	14
ADAM7	14
ADAMTS5	14
ULK1	14
TNKS	14
PCDHB3	14
ERN2	14
OSMR	14
ARHGEF15	14
SLCO3A1	14
LRRC16B	14
PCDHB15	14
