Gene	Frequency
TP53	352
FAT1	111
CDKN2A	103
PIK3CA	91
SYNE1	83
PCLO	76
USH2A	61
DNAH5	59
NSD1	57
CASP8	54
SI	49
COL11A1	47
PCDH15	44
PLEC	42
FAT4	41
CUBN	39
EP300	38
DNAH9	37
UNC13C	36
GPR98	36
LRP2	35
PRDM9	34
DST	34
FMN2	33
CSMD1	33
FBXW7	33
ZNF804B	32
CDH10	31
ZNF208	31
HRAS	31
NOTCH1	31
SPTA1	31
SCN1A	30
ANK2	30
LAMA2	30
THSD7A	30
RYR1	29
PEG3	29
VPS13B	28
CTNND2	28
NFE2L2	28
LRP1	28
RNF213	27
TMEM132D	26
FLG	26
MDN1	26
ADCY8	26
VCAN	26
PPP1R9A	25
CTNNA2	25
GRM1	25
ROS1	25
VPS13D	24
DCHS2	24
SVEP1	24
PTPRB	24
SLIT2	24
RIMS2	24
PRKDC	24
PCDH9	24
CDH9	24
TGFBR2	24
CNTNAP2	23
FAM47A	23
HERC1	23
BIRC6	23
COL1A2	23
RUNX1T1	22
ATRNL1	22
COL6A3	22
SMARCA4	22
SLC4A4	22
MAP1A	22
EPB41L3	22
ZNF536	22
MYH2	22
REV3L	22
CELSR2	22
CRB1	22
SPHKAP	21
LRRC7	21
PCNT	21
GRIN2A	21
PLCB1	21
GRM8	21
ADCY2	21
TRRAP	21
FSTL5	21
KLHL1	20
ADAMTS12	20
ZNF835	20
PTPRT	20
ZNF521	20
ABCC8	20
DNAH2	20
NOTCH2	20
WDFY3	20
EPHA7	20
HFM1	20
ITGA8	20
MAP2	20
NOTCH3	20
ITPR2	20
TAF1L	20
ABCC9	19
LRRTM1	19
ADAMTS3	19
ARID1A	19
PRUNE2	19
CUX1	19
HLA-A	19
PLCE1	19
ANK3	19
DYSF	19
CHD7	19
LAMA3	19
PTPRM	19
PDE4DIP	19
ABCB1	18
TLN1	18
MYH6	18
ANKRD11	18
HRNR	18
CPAMD8	18
NCOR2	18
KIF4B	18
PIK3CG	18
MYO15A	18
DNAH17	18
PCDH17	18
RASA1	18
SRCAP	18
HERC2	18
SMG1	17
TMEM2	17
NPFFR2	17
ATP13A4	17
LRRTM4	17
UNC5D	17
ATP10B	17
NRG3	17
UBR4	17
AKAP9	17
CFH	17
NBEA	17
SIM1	17
ARID2	17
CNOT1	17
MED12L	17
EPPK1	17
NCKAP5	17
GRID1	17
FN1	17
SPAG17	16
ZNF292	16
DNAH3	16
LCT	16
SLC39A12	16
FAM47B	16
CDH7	16
TLR4	16
MKRN3	16
AHDC1	16
MYH7	16
CDH11	16
CUL3	16
KIAA2022	16
MME	16
MYO16	16
PTPRC	16
MKI67	16
NRXN3	16
ACACA	16
IMPG2	16
ZNF479	16
POTEG	16
PHF3	16
KDM6A	16
GRIA2	16
PCDHB8	16
CACNA2D1	16
TRIO	16
CNTNAP5	16
PREX2	16
ZNF737	16
SPTBN1	16
KLHL4	16
LAMA5	16
NLRP5	15
ROCK1	15
NLGN1	15
FRY	15
ZIC1	15
KCNT2	15
ATP8A2	15
SVIL	15
MTUS2	15
VWF	15
FSCB	15
DMXL2	15
LRRTM3	15
TRIP12	15
GTF3C1	15
LEPR	15
ASXL1	15
COL19A1	15
SCN10A	15
KIAA0947	15
ADAMTS9	15
LYST	15
HEPH	15
ZNF646	15
POTEC	15
CENPE	15
MED12	15
PTPN14	15
CD163	15
LPHN3	15
PLXNA2	15
DUSP27	15
MYO9A	14
EGFR	14
FIGN	14
KIAA1429	14
MXRA5	14
TP53BP1	14
CYLD	14
LRP4	14
SPTB	14
ACACB	14
MCM3AP	14
CAMTA1	14
ZFHX3	14
MAGEC1	14
PCDHA12	14
NBPF1	14
IGSF10	14
KIAA0556	14
TIAM2	14
CFHR4	14
RASGRF1	14
SYNE2	14
HDAC9	14
CPS1	14
EPHB1	14
MAGEL2	14
ATM	14
AK5	14
FLT1	14
DOCK1	14
PKD1L1	13
COL5A2	13
CACNA1S	13
ZNF451	13
LRRIQ1	13
SHANK2	13
PCDHB6	13
CABIN1	13
MED13	13
PDZRN3	13
FAM47C	13
ROBO2	13
TNXB	13
ERC2	13
FER1L6	13
PCDHA1	13
RIMS1	13
KIAA0100	13
ZNF831	13
AGBL1	13
CFTR	13
PDGFRA	13
DAAM2	13
BRWD3	13
GRIN3A	13
PCDHGA2	13
DMBT1	13
KIAA1377	13
CDH12	13
LAMB4	13
KCNH7	13
CACNA1E	13
FNDC1	13
COL3A1	13
SEMA5B	13
LRRC37B	13
PCDHB2	13
PDE10A	13
ERBB3	13
PTCH1	13
PTPRF	13
PCDHGA12	13
ANKS1B	13
DNM2	13
SPATA16	13
PREX1	13
LPA	13
MYH4	13
PTEN	12
UGT2B4	12
ENPEP	12
NLRP4	12
C6	12
EYS	12
ADAM29	12
IGSF9B	12
RAC1	12
RNF17	12
FBXL7	12
KIF16B	12
REG1A	12
TP63	12
TMTC3	12
SIPA1L2	12
DIP2C	12
NUP205	12
COL15A1	12
USP29	12
NRD1	12
EPHA6	12
PCDHB3	12
SORL1	12
MSH4	12
PARP14	12
TTC37	12
ALPK2	12
UBR2	12
