Gene	Frequency
TP53	257
MUC16	212
RYR2	189
USH2A	159
KRAS	148
XIRP2	125
SPTA1	121
COL11A1	102
KEAP1	91
RYR3	90
DNAH9	88
CDH10	86
PTPRD	84
GPR112	84
RP1L1	83
NRXN1	82
ZNF804A	81
PCDH11X	76
RELN	75
FAT4	74
PXDNL	74
PRDM9	73
VCAN	73
NALCN	72
ASPM	69
STK11	69
RIMS2	67
EGFR	67
ASXL3	67
LRP2	66
CNTNAP5	65
CNTNAP2	64
PKHD1L1	64
EPHA5	63
MYH2	62
LAMA2	62
HERC2	62
FAM135B	62
SYNE2	61
PRUNE2	61
LPHN3	60
MYH1	60
MYH8	60
TLR4	59
CTNNA2	58
AFF2	58
NF1	58
NLRP3	57
DNAH8	57
COL6A3	57
CPS1	56
TPTE	56
COL12A1	55
CRB1	54
ADAMTS20	54
LAMA1	53
MYH7	52
DST	52
FAT1	52
HCN1	52
PTPRT	51
SLITRK2	51
TRPS1	51
ZNF521	50
SETBP1	50
RGPD4	50
DNAH3	49
GRIN2A	49
COL5A2	49
SLC8A1	49
ROBO2	48
DNAH7	48
LRRIQ1	48
ABCB5	48
DNAH11	48
CDH12	48
PCDH17	48
LRRTM4	47
FCGBP	47
DCAF4L2	47
SORCS3	47
ABCA13	47
MGAM	47
SPHKAP	46
LYST	46
THSD7B	46
ITGA8	46
NOTCH4	45
SLITRK3	45
FLNC	45
GRM8	45
GPR98	45
MUC17	45
SLIT2	44
HYDIN	44
HRNR	44
CNTNAP4	44
EPHA3	44
POM121L12	44
NELL1	43
NLRP5	43
KDR	43
DCHS2	43
MMRN1	43
F8	43
NLGN4X	43
PPP1R3A	43
UBR4	42
OVCH1	42
PLEC	42
SCN10A	42
SMARCA4	42
ATM	41
BRAF	41
TMTC1	41
NLRP14	41
NBAS	41
DUSP27	41
CHL1	41
ZNF479	41
SALL1	41
ERBB4	40
KCNU1	40
MYO7B	40
CLCN1	40
MGA	40
CACNA2D1	40
KCNB2	39
DIDO1	39
L1CAM	39
ACTN2	38
HDAC9	38
NRCAM	38
HGF	38
ZDBF2	38
NRXN3	38
ADAMTS16	38
HEPH	38
AKAP6	38
ANK1	37
COL4A5	37
PCDHGA3	37
GRIN3A	37
PCDHB7	36
OR2T33	36
LPHN2	36
GLI3	36
PDGFRA	36
LCT	36
SCN2A	36
OR2W3	36
PTPRB	36
CENPF	36
PCDHB8	36
PDE4DIP	36
DCHS1	36
MYCBP2	35
SEMA6D	35
ANKRD30B	35
IGSF1	35
TRRAP	35
KCNH8	35
BCLAF1	35
ZNF676	34
FRMPD1	34
GRM1	34
OBSCN	34
CUX2	34
RBM10	34
FRAS1	34
CFH	34
TRPM6	34
OR8U1	34
GRIK2	33
BCHE	33
FANCM	33
ALMS1	33
ITPR2	33
OR2L8	33
PTPRC	33
TMPRSS15	33
ZEB2	33
PCDHB4	33
USP29	33
SETD2	33
KALRN	33
DCC	32
ASTN2	32
PREX1	32
NLRP13	32
FAM83B	32
KCNH1	32
FOLH1	32
SATB2	32
NDST4	32
SAMD9L	32
OR2M3	31
PIK3CG	31
COL4A2	31
DPP6	31
TRHDE	31
WDFY3	31
XYLT1	31
ITGAD	31
OR2L13	31
COL4A1	31
TRO	31
CDH6	31
TRPC4	31
ROR2	31
ABCC11	31
ATRX	31
FRMPD4	31
LAMA5	30
ARID1A	30
NLRP10	30
CNTN1	30
PCDHA3	30
SLC12A5	30
OGDHL	30
FAM71B	30
MED12	30
KCNA4	30
IRS4	30
CMYA5	30
PCDHB2	30
ADAMTSL3	30
WDR49	30
PLG	29
ADAMTS5	29
RGS7	29
BDP1	29
NLGN1	29
ADAM19	29
OR5F1	29
FREM2	29
CHD5	29
GTF3C1	29
ATP10B	29
HFM1	29
NRG3	29
SCN1A	29
COL7A1	29
DSG4	29
PCDHA5	29
KCNH7	28
SLC9A4	28
ZBBX	28
CDH11	28
HSPG2	28
SLC17A6	28
CCDC108	28
SLITRK1	28
FZD10	28
POSTN	28
CNTN3	28
CD163L1	28
SAMD9	28
PCDHA1	28
MKI67	28
BCORL1	28
EPB41L3	28
OR5D13	28
CAMTA1	28
HHIPL2	28
CTTNBP2	27
F13A1	27
PIK3CA	27
OR5L2	27
FSHR	27
ZSWIM2	27
ANKRD17	27
SRRM2	27
NLRP4	27
SPAG17	27
DLC1	27
KIAA0947	27
RB1	27
DPP10	27
SLC44A5	27
SDK2	27
TPO	27
PCNXL2	27
LAMB1	27
ADAMTS19	27
OR2T3	27
POTEF	27
HERC1	27
VPS13D	27
TRIML1	27
PDE3A	27
EP400	26
ADAM23	26
UBA6	26
BRCA2	26
TMEM200A	26
LILRB2	26
KIF4B	26
PDE1C	26
GRID2	26
PCDHB6	26
ARID1B	26
C20orf26	26
CDH8	26
ZFYVE26	26
GUCY2F	26
SLIT3	26
