Gene	Frequency
TP53	58
SPOP	56
FOXA1	28
ATM	20
PTEN	18
CACNA1E	15
ZFHX3	13
COL11A1	13
MUC17	13
MACF1	13
ABCA13	12
BAI3	11
GRIA1	11
SPTA1	11
CNTNAP5	11
CTNNB1	11
KDM6A	11
PIK3CA	11
APC	11
DNAH17	11
ZMYM3	10
MUC16	10
DNAH3	10
CSMD1	10
PCDH15	10
MYH8	9
FAT2	9
FLG	9
XIRP2	9
GRIN2A	9
OBSCN	9
FBN3	9
SACS	9
CDK12	9
GAD2	9
USH2A	8
PKHD1L1	8
ASTN1	8
C1orf173	8
BRCA2	8
VPS13D	8
CSMD2	8
APOB	8
PLCB4	8
FREM2	8
FLG2	8
RNF213	8
RYR3	8
NALCN	8
SORCS1	8
GRIN2B	7
RYR1	7
PKD1	7
PRKDC	7
CHD1	7
KCNB2	7
PCDHB7	7
OTOF	7
BRAF	7
AKAP9	7
MYCBP2	7
ROBO2	7
BSN	7
CDH23	7
DCC	7
POM121L12	7
COL12A1	7
NDST4	7
AHNAK	7
DNAH10	7
PIWIL1	6
MYH11	6
CDH12	6
SCN5A	6
CHD5	6
LRRK2	6
MED12	6
BRPF1	6
CDKN1B	6
PCDH11X	6
HSPG2	6
SIGLEC1	6
MED15	6
TBC1D2	6
LINGO2	6
PDZD2	6
SPHKAP	6
XYLT1	6
NLRP4	6
ASH1L	6
PIK3CG	6
ZNFX1	6
EMR2	6
MYO18B	6
BAI1	6
DOCK2	6
SCN1A	6
NCOR1	6
TRANK1	6
FMN2	6
KIF13A	6
ZFHX4	6
TG	6
A1CF	6
PCDH10	6
SRCAP	6
ZC3H13	6
ERF	6
SI	6
COL24A1	5
UTP20	5
ARID2	5
SIPA1L1	5
COL6A3	5
RP1	5
CDH6	5
RNF31	5
MECOM	5
TBXA2R	5
KRT25	5
DNAH1	5
ETV3	5
CSMD3	5
UNC13C	5
HYDIN	5
CFH	5
TNXB	5
FAM83B	5
FRAS1	5
SCN7A	5
ZNF276	5
DDX23	5
SMC2	5
FCGBP	5
FILIP1L	5
NDST2	5
CMYA5	5
XPO4	5
KRBA1	5
DNAH8	5
ADAM29	5
CTNNAL1	5
LRRC15	5
DOCK10	5
STAT3	5
PCDHA10	5
UACA	5
PCDHA12	5
GPR112	5
SMAD4	5
THSD4	5
CNOT3	5
IDH1	5
PCDHA8	5
SLC8A1	5
TNRC18	5
